time,value,
18.50106383,0.297472228,
18.52541063,0.297377649,
18.54756202,0.299647529,
18.58326035,0.303998132,
18.61667471,0.333317411,
18.65005674,0.351476449,
18.68930383,0.364811993,
18.72460732,0.394225851,
18.76090777,0.415978865,
18.80008956,0.440285493,
18.84062658,0.459674049,
18.8794565,0.493722245,
18.91534803,0.527581284,
18.95084112,0.542240924,
18.9877554,0.558319239,
19.02171206,0.580828879,
19.05433903,0.593407796,
19.09223667,0.616106593,
19.13168745,0.636819245,
19.16903754,0.678339129,
19.20765341,0.689688527,
19.24455849,0.711346963,
19.28407963,0.718156602,
19.32142677,0.74757046,
19.35874942,0.773957812,
19.39287807,0.78871203,
19.4299686,0.795143356,
19.4615206,0.82928613,
19.49572416,0.848012637,
19.52924185,0.877615652,
19.57186431,0.904381318,
19.60814884,0.909110234,
19.64678299,0.906745775,
19.68615947,0.912231318,
19.72317601,0.916865656,
19.76032871,0.919703005,
19.79574469,0.9188518,
19.83672861,0.920743367,
19.87760425,0.923580716,
19.91735652,0.927269271,
19.95668708,0.929633729,
19.99735134,0.938902404,
20.03672468,0.944198791,
20.07785556,0.945806622,
20.11840716,0.950062647,
20.14684873,0.948833128,
20.17714946,0.942023489,
20.204333,0.935024693,
20.23767223,0.925945175,2.09594187
20.26779611,0.910245173,
20.30565699,0.909772281,
20.34085278,0.906934932,
20.3791221,0.908259029,
20.41693621,0.913649992,
20.45356967,0.918378908,
20.49286761,0.915636138,
20.5295968,0.921878306,
20.56523872,0.922540355,
20.60205146,0.916109029,
20.63899002,0.917243969,
20.6731441,0.921499993,
20.70381558,0.921216259,
20.73708791,0.917622282,
20.77188701,0.909393968,
20.80990079,0.907691559,
20.84737758,0.902773485,
20.88590907,0.904475895,
20.92472374,0.903813847,
20.95996948,0.903340956,
20.99683735,0.898139148,
21.03566102,0.89917951,
21.07263501,0.894828907,
21.10655752,0.893977702,
21.14397553,0.888019267,
21.17838283,0.891518665,
21.21775461,0.900787341,
21.25464132,0.900409028,
21.29274859,0.909677703,
21.32785201,0.915163246,
21.36409321,0.921027101,
21.40135984,0.921499993,
21.43865191,0.92112168,
21.47717466,0.916676499,
21.51475847,0.916014451,
21.55348179,0.919230114,
21.58927197,0.920743367,
21.62983155,0.912987945,
21.67072075,0.912798788,
21.70936313,0.916865656,
21.75000189,0.932187344,
21.78702223,0.93407891,
21.83457673,0.938334935,
21.87426724,0.943536743,
21.91375936,0.945049995,
21.95346345,0.942685538,
21.99134557,0.944482525,
22.03053952,0.942590959,
22.06817678,0.949400598,
22.104349,0.951859635,
22.14247457,0.950157225,
22.18136905,0.952994575,
22.22114646,0.959142166,
22.25726713,0.956493973,
22.2922984,0.950630116,
22.32568682,0.951481321,
22.36089147,0.949022285,
22.39477737,0.949116864,
22.42645791,0.952048791,
22.46114152,0.945144574,
22.49619091,0.943915056,
22.53499095,0.944198791,
22.57108665,0.94646867,
22.6103039,0.94873855,
22.64739842,0.94930602,
22.6839614,0.94817108,
22.72226997,0.947225297,
22.75894395,0.944387948,
22.79524914,0.937767465,
22.83345398,0.93861867,
22.870461,0.934740959,
22.90644008,0.930390356,
22.94364612,0.924904813,
22.98142499,0.921878306,
23.01813899,0.924148186,
23.05913758,0.92509397,
23.09722363,0.917054812,
23.13097514,0.913366258,
23.16281642,0.902300594,
23.19753068,0.894356016,
23.23352722,0.892464449,
23.2719345,0.890289147,
23.30118888,0.891991557,
23.33825881,0.889154208,
23.36910701,0.889059629,
23.40527081,0.878939749,
23.44372649,0.879885532,
23.48076475,0.881493363,
23.51777345,0.88281746,
23.55773202,0.886506015,
23.59056002,0.886316858,
23.6274198,0.88168252,
23.66317361,0.874967459,
23.69646367,0.876102399,
23.72789417,0.87156264,
